Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
1,['wheel'],[0.9032942],[0.5829477310180664],[355.7304382324219],[147.5955047607422],[510.8930969238281]
2,['wheel'],[0.908618],[1.020355224609375],[356.4546813964844],[164.84352111816406],[510.6000671386719]
3,['wheel'],[0.9059898],[12.08700180053711],[356.9980163574219],[181.80508422851562],[511.9425964355469]
4,['wheel'],[0.9161096],[29.285717010498047],[356.884033203125],[200.1797332763672],[512.8319702148438]
5,['wheel'],[0.91490096],[46.914031982421875],[356.13299560546875],[218.2105712890625],[513.5262451171875]
6,['wheel'],[0.9219218],[63.51067352294922],[356.4638977050781],[236.07887268066406],[514.1463623046875]
7,['wheel'],[0.9207897],[80.28426361083984],[356.3117980957031],[253.88076782226562],[514.6845092773438]
8,['wheel'],[0.9241418],[98.11381530761719],[356.45257568359375],[272.85113525390625],[515.1111450195312]
9,['wheel'],[0.9252299],[116.68140411376953],[356.3123474121094],[291.0913391113281],[515.4697265625]
10,['wheel'],[0.9252299],[134.42410278320312],[356.7590637207031],[309.7044372558594],[516.2998046875]
11,['wheel'],[0.9230392],[152.70933532714844],[356.3527526855469],[328.4138488769531],[518.1842651367188]
12,['wheel'],[0.9230392],[170.70468139648438],[356.4979248046875],[348.5348205566406],[519.667724609375]
13,['wheel'],[0.9230392],[189.32498168945312],[356.782958984375],[367.2793884277344],[519.6434326171875]
14,['wheel'],[0.9219218],[208.4583282470703],[356.6355895996094],[387.01580810546875],[519.9185180664062]
15,['wheel'],[0.9230392],[227.4439697265625],[356.48876953125],[406.47412109375],[521.46875]
16,['wheel'],[0.9284088],[246.59652709960938],[356.64080810546875],[426.77789306640625],[522.5026245117188]
17,['wheel'],[0.9230392],[265.7085876464844],[356.4757080078125],[446.4767761230469],[523.3407592773438]
18,['wheel'],[0.9263037],[286.1522216796875],[356.9540710449219],[467.4709777832031],[523.6177368164062]
19,['wheel'],[0.9230392],[306.11834716796875],[357.291259765625],[488.4206848144531],[526.1958618164062]
20,"['wheel', 'wheel']",[0.8976953  0.39001107],"[324.6776123046875, 0.23419439792633057]","[357.269775390625, 392.9504089355469]","[508.68695068359375, 12.532318115234375]","[526.4387817382812, 477.6127624511719]"
21,['wheel'],[0.8962514],[345.41033935546875],[356.5557861328125],[529.5157470703125],[526.502197265625]
22,"['wheel', 'wheel']",[0.87997437 0.38168037],"[366.36669921875, 0.18810033798217773]","[357.13140869140625, 363.464111328125]","[550.0343627929688, 44.28955841064453]","[527.3622436523438, 502.61962890625]"
23,"['wheel', 'wheel']",[0.891811   0.38168037],"[387.47161865234375, 0.1882171630859375]","[356.87384033203125, 359.06353759765625]","[571.9617309570312, 60.512123107910156]","[528.5118408203125, 504.6846923828125]"
24,"['wheel', 'wheel', 'wheel']",[0.86703575 0.57224476 0.36387292],"[408.37939453125, 0.2326822280883789, 0.17058372497558594]","[357.2451477050781, 357.7580261230469, 374.8285827636719]","[593.344482421875, 77.70844268798828, 29.554616928100586]","[528.948974609375, 506.0103759765625, 506.4803161621094]"
25,"['wheel', 'wheel']",[0.8840393 0.3711366],"[428.54193115234375, 0.29180049896240234]","[357.1817626953125, 357.35406494140625]","[616.2802124023438, 93.92327880859375]","[530.0670776367188, 511.813232421875]"
26,['wheel'],[0.9032942],[450.0648498535156],[357.4709167480469],[638.0594482421875],[531.3403930664062]
27,"['wheel', 'wheel', 'wheel', 'wheel']",[0.83761996 0.4793818  0.38306415 0.35846534],"[472.2122497558594, 0.5757808685302734, 0.15264511108398438, 30.045677185058594]","[357.0014953613281, 356.5456237792969, 358.7794494628906, 357.55419921875]","[659.8270263671875, 127.40884399414062, 83.70178985595703, 127.67179870605469]","[531.5908813476562, 518.9273071289062, 518.6176147460938, 507.3388977050781]"
28,"['wheel', 'wheel']",[0.8489722 0.5503657],"[494.599853515625, 0.5563068389892578]","[356.7596740722656, 356.6423645019531]","[683.66064453125, 145.1237030029297]","[532.5257568359375, 521.150634765625]"
29,"['wheel', 'wheel', 'wheel', 'wheel']",[0.8344069  0.46708867 0.39981166 0.3747907 ],"[515.8684692382812, 0.8525753021240234, 0.2920389175415039, 56.41981506347656]","[357.6041564941406, 356.8096923828125, 358.47991943359375, 358.18780517578125]","[704.9883422851562, 162.62222290039062, 119.45799255371094, 163.36846923828125]","[533.0526733398438, 521.1841430664062, 520.9937133789062, 508.36920166015625]"
30,"['wheel', 'wheel', 'wheel', 'wheel']",[0.8322367  0.49276787 0.36658973 0.38352585],"[538.8748779296875, 0.6607723236083984, 75.83583068847656, 0.26194095611572266]","[357.1005859375, 356.1915283203125, 357.0894470214844, 357.4668273925781]","[729.48193359375, 179.59210205078125, 180.569091796875, 137.57080078125]","[534.7169799804688, 522.440185546875, 507.9493103027344, 522.2740478515625]"
31,"['wheel', 'wheel']",[0.8311431 0.4951173],"[561.4287109375, 0.9166526794433594]","[357.43804931640625, 356.2532653808594]","[752.6636962890625, 197.3530731201172]","[535.5679321289062, 522.95556640625]"
32,"['wheel', 'wheel', 'wheel']",[0.81873685 0.50180817 0.44215468],"[583.80029296875, 0.5395698547363281, 104.1512451171875]","[357.7286071777344, 358.1549072265625, 357.6579284667969]","[778.1159057617188, 176.3148651123047, 215.76568603515625]","[537.4114990234375, 523.3468627929688, 510.9678649902344]"
33,"['wheel', 'wheel', 'wheel']",[0.8407826  0.4848069  0.38121954],"[607.2546997070312, 9.283914566040039, 0.36676883697509766]","[357.150390625, 356.4388122558594, 356.9334411621094]","[802.2369995117188, 232.88551330566406, 48.85393142700195]","[538.3161010742188, 524.6764526367188, 509.2464294433594]"
34,"['wheel', 'wheel', 'wheel']",[0.8568123 0.6723317 0.4513265],"[630.1531372070312, 28.783464431762695, 0.2113819122314453]","[357.52386474609375, 357.06719970703125, 357.6409606933594]","[827.6294555664062, 251.06170654296875, 68.1002426147461]","[539.3919067382812, 525.3954467773438, 514.581787109375]"
35,"['wheel', 'wheel', 'wheel']",[0.8407826  0.55109054 0.4970856 ],"[654.0528564453125, 48.27372741699219, 0.2571296691894531]","[357.8773193359375, 357.80157470703125, 357.86651611328125]","[854.4882202148438, 269.9109191894531, 83.90913391113281]","[539.695556640625, 526.7993774414062, 518.37646484375]"
36,"['wheel', 'wheel', 'wheel', 'wheel', 'wheel']",[0.80069196 0.39326853 0.4807224  0.37662312 0.3720488 ],"[678.057373046875, 66.71971130371094, 0.4269075393676758, 181.5813446044922, 66.17756652832031]","[357.64532470703125, 357.6116027832031, 357.4712829589844, 357.884521484375, 358.8729553222656]","[879.7463989257812, 288.16571044921875, 103.30013275146484, 288.5694580078125, 251.8883056640625]","[541.0712280273438, 527.2293090820312, 520.1973876953125, 512.0070190429688, 526.3635864257812]"
37,"['wheel', 'wheel', 'wheel']",[0.7994423 0.5580862 0.5290201],"[702.8486328125, 85.92346954345703, 0.3531312942504883]","[357.2728271484375, 357.0329284667969, 356.4015197753906]","[904.7940063476562, 306.9964294433594, 121.55325317382812]","[542.3546142578125, 527.9275512695312, 520.5537109375]"
38,"['wheel', 'wheel', 'wheel']",[0.81405276 0.70659554 0.6522414 ],"[726.41796875, 104.8039321899414, 0.35620689392089844]","[357.42486572265625, 357.76806640625, 357.18695068359375]","[934.1998291015625, 324.5613098144531, 139.49452209472656]","[544.8746948242188, 528.8616943359375, 521.3453369140625]"
39,"['wheel', 'wheel', 'wheel']",[0.68594944 0.82893884 0.6361271 ],"[124.40803527832031, 751.134521484375, 0.6348371505737305]","[357.2138977050781, 357.4499206542969, 356.6298828125]","[344.0067138671875, 960.6759643554688, 157.0134735107422]","[529.8392333984375, 544.748046875, 522.8265991210938]"
40,"['wheel', 'wheel', 'wheel']",[0.8244619  0.64243245 0.45447215],"[775.8057861328125, 144.76812744140625, 0.6940460205078125]","[357.4960632324219, 357.56903076171875, 356.9456787109375]","[987.4545288085938, 363.3651123046875, 176.11021423339844]","[545.6130981445312, 530.2999877929688, 523.0542602539062]"
41,"['wheel', 'wheel', 'wheel']",[0.8267118  0.692642   0.51744896],"[800.3240966796875, 163.91188049316406, 0.7051753997802734]","[357.5492858886719, 357.4436950683594, 357.0067138671875]","[1015.75439453125, 384.17388916015625, 194.49554443359375]","[546.5997924804688, 531.372802734375, 524.370849609375]"
42,"['wheel', 'wheel', 'wheel', 'wheel']",[0.82104415 0.6504673  0.61831963 0.40969306],"[824.4107055664062, 185.359375, 16.543903350830078, 0.2745628356933594]","[357.6793518066406, 358.040283203125, 358.4705505371094, 358.00396728515625]","[1043.4583740234375, 403.73431396484375, 209.86016845703125, 57.355224609375]","[547.3655395507812, 532.5021362304688, 524.6488037109375, 511.4391174316406]"
43,"['wheel', 'wheel', 'wheel', 'wheel']",[0.8092759  0.63973606 0.56457865 0.4931645 ],"[849.6774291992188, 205.46908569335938, 35.932701110839844, 0.3244137763977051]","[357.288818359375, 357.45147705078125, 358.7727966308594, 357.4456481933594]","[1072.7618408203125, 423.4179992675781, 219.50946044921875, 75.01962280273438]","[548.8043823242188, 533.4188232421875, 525.3961791992188, 515.9161987304688]"
44,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7981868  0.68172675 0.62337685 0.5841525 ],"[873.341064453125, 225.97549438476562, 54.344482421875, 0.3304147720336914]","[357.2430419921875, 357.0296936035156, 357.56170654296875, 357.7026672363281]","[1101.236083984375, 444.27099609375, 251.0062255859375, 92.4307861328125]","[550.196533203125, 534.3287963867188, 526.9253540039062, 519.079345703125]"
45,"['wheel', 'wheel', 'wheel', 'wheel']",[0.81286734 0.63973606 0.58367807 0.48761243],"[899.198486328125, 247.19757080078125, 74.12823486328125, 0.4159736633300781]","[357.4245300292969, 357.93292236328125, 359.1518249511719, 357.4178771972656]","[1130.2000732421875, 464.494384765625, 252.24331665039062, 109.7599868774414]","[552.2337646484375, 535.7259521484375, 527.2086791992188, 520.1747436523438]"
46,"['wheel', 'wheel', 'wheel', 'wheel']",[0.81757444 0.7201715  0.590307   0.58367807],"[924.4300537109375, 268.2755126953125, 92.78472900390625, 0.34162044525146484]","[357.193115234375, 357.1728515625, 358.44256591796875, 356.8233947753906]","[1160.7459716796875, 484.4328308105469, 269.7587890625, 126.92146301269531]","[553.7135620117188, 536.7369995117188, 527.628173828125, 520.7211303710938]"
47,"['wheel', 'wheel', 'wheel', 'wheel']",[0.82104415 0.7041601  0.6090592  0.6252093 ],"[950.2074584960938, 289.7027282714844, 113.05721282958984, 0.3509855270385742]","[357.1012878417969, 357.5604553222656, 358.55157470703125, 356.9804382324219]","[1189.2525634765625, 505.5199890136719, 303.02410888671875, 146.07408142089844]","[553.7733154296875, 537.2891235351562, 529.0797729492188, 522.015625]"
48,"['wheel', 'wheel', 'wheel', 'wheel']",[0.80069196 0.6757646  0.6081287  0.6315943 ],"[975.5493774414062, 311.50628662109375, 132.47662353515625, 0.3107452392578125]","[357.1436767578125, 357.5531311035156, 358.1058349609375, 357.4291076660156]","[1218.890869140625, 525.721435546875, 328.68023681640625, 162.23712158203125]","[554.6144409179688, 538.4594116210938, 529.7865600585938, 522.7837524414062]"
49,"['wheel', 'wheel', 'wheel', 'wheel']",[0.73866904 0.82782817 0.64779824 0.500515  ],"[333.08026123046875, 1002.5110473632812, 153.48170471191406, 0.8392810821533203]","[357.08795166015625, 357.2867431640625, 358.2392578125, 356.8282470703125]","[547.2669677734375, 1251.0191650390625, 346.5799560546875, 182.39743041992188]","[539.2163696289062, 555.6652221679688, 530.2908325195312, 524.6215209960938]"
50,"['wheel', 'wheel', 'wheel', 'wheel']",[0.81047887 0.6959583  0.62245935 0.61277324],"[1029.088623046875, 354.86468505859375, 8.657598495483398, 172.150146484375]","[357.139892578125, 357.5097961425781, 357.3797302246094, 358.4775695800781]","[1279.0902099609375, 568.7312622070312, 199.35348510742188, 367.5027770996094]","[557.2908325195312, 540.2503051757812, 524.4149169921875, 531.6235961914062]"
51,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7994423 0.7185944 0.6723317 0.6442251],"[1055.4749755859375, 378.27081298828125, 26.123838424682617, 193.24905395507812]","[357.3393249511719, 357.90667724609375, 358.5924987792969, 358.85772705078125]","[1279.492431640625, 590.1647338867188, 219.6436767578125, 384.7901611328125]","[557.95361328125, 541.8346557617188, 525.1421508789062, 533.1469116210938]"
52,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7264256  0.8044059  0.66017234 0.6548947 ],"[400.70159912109375, 1082.3714599609375, 214.1021728515625, 45.120079040527344]","[357.8610534667969, 357.461181640625, 358.2966003417969, 358.1683044433594]","[612.4520263671875, 1279.3348388671875, 414.9787902832031, 239.95346069335938]","[543.5061645507812, 557.8023071289062, 534.366943359375, 525.8744506835938]"
53,"['wheel', 'wheel', 'wheel', 'wheel']",[0.76629364 0.8233284  0.7000752  0.7279754 ],"[423.25634765625, 1110.056884765625, 63.1828498840332, 235.47384643554688]","[357.40582275390625, 356.88262939453125, 358.1028747558594, 357.70941162109375]","[634.3446044921875, 1279.4239501953125, 253.63638305664062, 437.09417724609375]","[544.2496948242188, 559.4755859375, 527.3161010742188, 534.9144287109375]"
54,"['wheel', 'wheel', 'wheel', 'wheel']",[0.75346667 0.81286734 0.6808786  0.68763   ],"[446.8782043457031, 1137.5517578125, 255.97564697265625, 82.36354064941406]","[357.95440673828125, 357.1274108886719, 358.44317626953125, 357.9727478027344]","[656.7166137695312, 1279.37255859375, 459.21319580078125, 280.18389892578125]","[544.8975219726562, 559.153564453125, 536.3174438476562, 528.0384521484375]"
55,"['wheel', 'wheel', 'wheel', 'wheel']",[0.74761593 0.79692537 0.6893056  0.7098244 ],"[469.69873046875, 1165.3046875, 277.35833740234375, 101.5879135131836]","[357.5256652832031, 357.6408386230469, 357.6210632324219, 357.4249572753906]","[679.12646484375, 1279.4908447265625, 481.979736328125, 298.2579040527344]","[545.9481811523438, 559.3380737304688, 537.130126953125, 528.8316650390625]"
56,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7718435  0.78530854 0.6984323  0.68846846],"[493.59930419921875, 1193.7923583984375, 120.97898864746094, 298.6029052734375]","[357.8389587402344, 361.7100830078125, 357.6233825683594, 358.08135986328125]","[703.26171875, 1279.69775390625, 318.7166748046875, 500.8262634277344]","[547.1134643554688, 556.7978515625, 529.767578125, 537.5950927734375]"
57,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7577944  0.7025301  0.692642   0.53776973],"[517.34912109375, 320.5668640136719, 141.43365478515625, 1222.97998046875]","[357.7184143066406, 357.7749938964844, 357.4761657714844, 374.18768310546875]","[726.1819458007812, 527.243896484375, 340.81182861328125, 1279.57568359375]","[548.7918701171875, 538.469482421875, 530.2247314453125, 552.1220092773438]"
58,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7634837  0.7279754  0.71701187 0.49420193],"[541.2711181640625, 162.9662322998047, 342.46820068359375, 1252.00732421875]","[358.3420104980469, 357.69091796875, 358.2091369628906, 397.9100036621094]","[749.481689453125, 362.6375732421875, 550.1217041015625, 1279.7100830078125]","[550.2804565429688, 531.4185791015625, 540.0424194335938, 526.1192626953125]"
59,"['wheel', 'wheel', 'wheel']",[0.7704648  0.7264256  0.70821255],"[567.234619140625, 181.67921447753906, 364.2103576660156]","[357.51824951171875, 357.6165771484375, 357.888427734375]","[773.883544921875, 384.39361572265625, 572.6568603515625]","[551.0914306640625, 532.73779296875, 541.457763671875]"
60,"['wheel', 'wheel', 'wheel']",[0.7634837 0.7264256 0.715424 ],"[591.5624389648438, 202.65481567382812, 387.1036376953125]","[357.3295593261719, 357.3354187011719, 357.3031005859375]","[802.76025390625, 400.0340270996094, 596.8314208984375]","[551.8842163085938, 533.9605102539062, 542.4892578125]"
61,"['wheel', 'wheel', 'wheel']",[0.74761593 0.74761593 0.78133065],"[410.1235656738281, 223.3326873779297, 616.1807250976562]","[358.37432861328125, 358.1966247558594, 358.30914306640625]","[619.7448120117188, 426.50604248046875, 830.0799560546875]","[543.6103515625, 534.9739990234375, 553.2789306640625]"
62,"['wheel', 'wheel', 'wheel']",[0.79182106 0.7577944  0.7620701 ],"[640.740478515625, 433.8012390136719, 243.456298828125]","[357.9092102050781, 357.4881286621094, 357.2192077636719]","[857.2325439453125, 643.1270751953125, 447.9009704589844]","[554.4824829101562, 544.3889770507812, 535.9393920898438]"
