Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
1,['wheel'],[0.9059898],[0.5944108963012695],[355.9546813964844],[147.40798950195312],[510.3245849609375]
2,['wheel'],[0.9124362],[0.9840583801269531],[356.52288818359375],[164.71469116210938],[510.35040283203125]
3,['wheel'],[0.91490096],[12.124242782592773],[356.90325927734375],[181.87542724609375],[511.6878356933594]
4,['wheel'],[0.91730267],[28.903274536132812],[356.9034423828125],[199.7346649169922],[512.6375732421875]
5,['wheel'],[0.9161096],[46.33195877075195],[356.0707702636719],[217.79676818847656],[513.7767333984375]
6,['wheel'],[0.91730267],[63.23384094238281],[356.7003173828125],[236.06106567382812],[514.4622192382812]
7,['wheel'],[0.9219218],[80.29224395751953],[356.37384033203125],[253.6798858642578],[514.5496826171875]
8,['wheel'],[0.91964257],[97.08302307128906],[356.78607177734375],[272.3968505859375],[514.9157104492188]
9,['wheel'],[0.9207897],[115.79690551757812],[356.59228515625],[291.4139709472656],[515.6077270507812]
10,['wheel'],[0.9263037],[134.8309326171875],[356.8196716308594],[310.3069763183594],[516.1392822265625]
11,['wheel'],[0.9230392],[151.86016845703125],[356.38043212890625],[328.78546142578125],[518.6901245117188]
12,['wheel'],[0.9207897],[170.06625366210938],[356.51702880859375],[348.70928955078125],[519.688720703125]
13,['wheel'],[0.9219218],[189.33331298828125],[356.7928466796875],[367.2421875],[519.6879272460938]
14,['wheel'],[0.9184803],[209.06948852539062],[356.5975646972656],[386.83123779296875],[520.0302734375]
15,['wheel'],[0.9252299],[227.3806915283203],[356.32373046875],[406.34954833984375],[521.7520141601562]
16,['wheel'],[0.9284088],[246.79527282714844],[356.3946533203125],[426.56585693359375],[522.4283447265625]
17,['wheel'],[0.9230392],[265.8243408203125],[356.61517333984375],[446.2001037597656],[523.0814819335938]
18,['wheel'],[0.9230392],[286.2115783691406],[356.8052673339844],[467.4483947753906],[523.560302734375]
19,['wheel'],[0.9252299],[306.12689208984375],[357.2952880859375],[488.1004638671875],[526.4080810546875]
20,['wheel'],[0.9252299],[323.425048828125],[356.8240051269531],[509.525390625],[526.9730224609375]
21,['wheel'],[0.9219218],[345.43206787109375],[356.374267578125],[529.9102783203125],[526.68896484375]
22,['wheel'],[0.9241418],[366.03021240234375],[357.1470947265625],[550.317626953125],[528.0656127929688]
23,['wheel'],[0.92944044],[387.02520751953125],[356.8568420410156],[571.9381103515625],[529.1929931640625]
24,['wheel'],[0.9230392],[407.24517822265625],[357.0423889160156],[593.6163330078125],[529.548095703125]
25,['wheel'],[0.9273633],[428.8389587402344],[356.8999938964844],[615.9832153320312],[530.078125]
26,['wheel'],[0.9284088],[449.93756103515625],[357.42431640625],[638.218505859375],[531.373779296875]
27,['wheel'],[0.9314625],[470.76776123046875],[356.61212158203125],[660.6633911132812],[532.036865234375]
28,['wheel'],[0.9230392],[494.0664978027344],[356.51971435546875],[684.0713500976562],[533.169677734375]
29,"['wheel', 'wheel']",[0.88563144 0.5474641 ],"[516.0678100585938, 0.18659114837646484]","[357.2496032714844, 381.21435546875]","[705.39697265625, 19.73041343688965]","[533.6895751953125, 487.3341979980469]"
30,"['wheel', 'wheel']",[0.87831426 0.42345798],"[538.6052856445312, 0.22302746772766113]","[356.74578857421875, 367.7130432128906]","[730.0256958007812, 35.151729583740234]","[535.477783203125, 501.15643310546875]"
31,"['wheel', 'wheel']",[0.8774768  0.60626537],"[560.360595703125, 0.19492149353027344]","[357.1764831542969, 360.6597900390625]","[752.3141479492188, 50.95382308959961]","[536.2762451171875, 502.70880126953125]"
32,"['wheel', 'wheel']",[0.8697146  0.57511085],"[583.245849609375, 0.23289203643798828]","[357.2825622558594, 358.15167236328125]","[778.0018310546875, 68.20428466796875]","[537.6251831054688, 504.6464538574219]"
33,"['wheel', 'wheel']",[0.8749346 0.5774954],"[606.8621215820312, 0.3208589553833008]","[356.88397216796875, 356.6654357910156]","[802.290283203125, 84.81163024902344]","[537.870849609375, 509.0842590332031]"
34,['wheel'],[0.8976953],[629.7515869140625],[357.25274658203125],[828.6492919921875],[539.1964721679688]
35,['wheel'],[0.87663436],[653.4259033203125],[357.4220886230469],[855.3140258789062],[540.2271118164062]
36,"['wheel', 'wheel', 'wheel', 'wheel']",[0.83761996 0.43350178 0.40356684 0.39047584],"[677.80322265625, 0.4637002944946289, 0.17461776733398438, 38.705413818359375]","[357.3546447753906, 356.4504699707031, 358.4248046875, 357.5709533691406]","[879.9484252929688, 134.96554565429688, 90.75263214111328, 135.31553649902344]","[541.0262451171875, 520.3602905273438, 519.8067626953125, 507.87164306640625]"
37,"['wheel', 'wheel', 'wheel']",[0.8344069  0.47341377 0.38352585],"[702.8155517578125, 0.5718088150024414, 0.20016193389892578]","[356.952880859375, 355.77947998046875, 357.4473876953125]","[905.471923828125, 152.52767944335938, 109.18572998046875]","[542.5769653320312, 521.0599975585938, 520.7738647460938]"
