Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
1,['wheel'],[0.9019207],[0.5772495269775391],[355.81170654296875],[147.47691345214844],[510.8327941894531]
2,['wheel'],[0.909907],[0.9551239013671875],[356.5594177246094],[165.03643798828125],[510.2635192871094]
3,['wheel'],[0.9073123],[11.720972061157227],[357.1571960449219],[181.52450561523438],[511.6865234375]
4,['wheel'],[0.9161096],[29.009628295898438],[356.6423034667969],[200.022705078125],[512.6698608398438]
5,['wheel'],[0.9161096],[46.874610900878906],[355.9449462890625],[218.2537841796875],[513.2852172851562]
6,['wheel'],[0.91964257],[63.79098892211914],[356.7229919433594],[236.05856323242188],[514.4303588867188]
7,['wheel'],[0.9252299],[80.04203796386719],[356.4746398925781],[253.72744750976562],[514.4580078125]
8,['wheel'],[0.9184803],[98.1660385131836],[356.6931457519531],[272.4206237792969],[514.7470092773438]
9,['wheel'],[0.9230392],[116.76189422607422],[356.5232849121094],[291.37005615234375],[515.7307739257812]
10,['wheel'],[0.9230392],[134.56703186035156],[356.7064514160156],[309.7850341796875],[516.3609008789062]
11,['wheel'],[0.91964257],[152.56350708007812],[356.5035705566406],[328.8514709472656],[518.3671875]
12,['wheel'],[0.9219218],[170.62789916992188],[356.466552734375],[348.63189697265625],[519.6618041992188]
13,['wheel'],[0.9273633],[189.70262145996094],[356.6741943359375],[367.56658935546875],[519.6618041992188]
14,['wheel'],[0.9219218],[208.22601318359375],[356.6517333984375],[387.0193176269531],[519.8787841796875]
15,['wheel'],[0.9241418],[227.39117431640625],[356.4497375488281],[406.5480041503906],[521.740234375]
16,['wheel'],[0.9263037],[247.0694122314453],[356.5828857421875],[426.496337890625],[522.37060546875]
17,['wheel'],[0.9252299],[265.8528137207031],[356.4586181640625],[446.75115966796875],[523.0338134765625]
18,['wheel'],[0.9241418],[286.1078186035156],[356.7524719238281],[467.2584228515625],[523.6845092773438]
19,['wheel'],[0.9230392],[306.16131591796875],[357.2765197753906],[488.1708984375],[525.9956665039062]
20,"['wheel', 'wheel']",[0.89478946 0.3853747 ],"[324.66680908203125, 0.22499144077301025]","[357.181884765625, 393.3350524902344]","[508.820556640625, 12.84113883972168]","[526.5148315429688, 477.84454345703125]"
21,"['wheel', 'wheel']",[0.89478946 0.36387292],"[346.0003662109375, 0.19550800323486328]","[356.55810546875, 373.3243408203125]","[529.9566650390625, 28.283920288085938]","[526.5341796875, 496.3614501953125]"
22,"['wheel', 'wheel']",[0.8697146  0.40827677],"[365.98431396484375, 0.19083261489868164]","[357.25933837890625, 363.3562927246094]","[550.1776733398438, 44.088775634765625]","[527.4202880859375, 502.7727966308594]"
23,"['wheel', 'wheel']",[0.880797   0.37799978],"[387.134765625, 0.2210521697998047]","[356.8223876953125, 358.9822082519531]","[571.8831787109375, 61.20813751220703]","[528.5835571289062, 504.6244201660156]"
24,"['wheel', 'wheel']",[0.86431044 0.48498988],"[408.1683044433594, 0.23381948471069336]","[357.087890625, 357.43194580078125]","[593.4673461914062, 77.67977905273438]","[529.2086181640625, 506.08709716796875]"
25,['wheel'],[0.8933094],[428.845703125],[357.1601867675781],[616.01025390625],[530.0570068359375]
26,['wheel'],[0.9059898],[450.0234375],[357.6505126953125],[638.03125],[531.1173095703125]
27,"['wheel', 'wheel']",[0.8539127 0.5585678],"[472.28826904296875, 0.4264688491821289]","[356.9501953125, 356.76239013671875]","[660.0824584960938, 127.27388000488281]","[531.5711669921875, 519.2908325195312]"
28,"['wheel', 'wheel']",[0.8568123 0.597373 ],"[494.53369140625, 0.5088567733764648]","[356.81390380859375, 356.8590087890625]","[683.58740234375, 145.21356201171875]","[532.628662109375, 520.7910766601562]"
29,"['wheel', 'wheel']",[0.84594244 0.6141626 ],"[515.9907836914062, 0.5687332153320312]","[357.413330078125, 356.7196960449219]","[704.974853515625, 162.32455444335938]","[533.1768798828125, 521.528564453125]"
30,"['wheel', 'wheel', 'wheel', 'wheel']",[0.83004373 0.45689437 0.39793843 0.3720488 ],"[539.2567749023438, 0.6980228424072266, 0.17586708068847656, 77.82669067382812]","[357.1596374511719, 356.21844482421875, 357.51947021484375, 357.23565673828125]","[729.9224243164062, 179.53025817871094, 137.60467529296875, 180.5561065673828]","[534.8265991210938, 522.4857177734375, 522.3252563476562, 507.568115234375]"
31,"['wheel', 'wheel', 'wheel']",[0.81873685 0.44890937 0.37570643],"[560.291748046875, 0.9166336059570312, 0.28386592864990234]","[357.48394775390625, 356.114013671875, 357.8368835449219]","[752.349853515625, 197.35125732421875, 157.597900390625]","[536.2041625976562, 523.1317138671875, 522.9112548828125]"
32,"['wheel', 'wheel', 'wheel', 'wheel']",[0.8267118  0.38630033 0.43206343 0.38769034],"[583.8405151367188, 0.8972072601318359, 0.3710365295410156, 106.81102752685547]","[357.5800476074219, 356.48992919921875, 358.1625061035156, 357.6280212402344]","[777.87890625, 215.32638549804688, 176.23977661132812, 215.6610107421875]","[537.3051147460938, 523.689697265625, 523.3655395507812, 511.0000915527344]"
