Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
29,"['wheel', 'wheel', 'wheel']",[0.80685264 0.8198933  0.50366205],"[301.724365234375, 518.5098876953125, 0.2523517608642578]","[357.9244689941406, 357.9901123046875, 381.8631286621094]","[516.2667236328125, 704.5059204101562, 19.697092056274414]","[538.408447265625, 532.9263305664062, 486.881103515625]"
30,"['wheel', 'wheel', 'wheel']",[0.81757444 0.8056322  0.41679665],"[540.821533203125, 321.84429931640625, 0.23989319801330566]","[357.73260498046875, 356.99420166015625, 367.9687805175781]","[729.3187866210938, 538.463623046875, 35.05694580078125]","[534.6119995117188, 539.3448486328125, 501.0343322753906]"
31,"['wheel', 'wheel', 'wheel']",[0.8198933  0.81405276 0.42345798],"[563.4600219726562, 344.3708801269531, 0.16011714935302734]","[357.9564514160156, 357.30169677734375, 360.7850036621094]","[752.096435546875, 558.7792358398438, 51.21148681640625]","[535.42138671875, 540.8580322265625, 503.0437927246094]"
32,"['wheel', 'wheel', 'wheel']",[0.8233284  0.7994423  0.60673153],"[586.73828125, 367.3296813964844, 0.18310070037841797]","[358.2341613769531, 357.4076232910156, 358.3987731933594]","[776.663330078125, 581.1231079101562, 68.10038757324219]","[536.751953125, 542.1768798828125, 504.2984313964844]"
33,"['wheel', 'wheel', 'wheel']",[0.81286734 0.81873685 0.54116637],"[609.6744384765625, 390.5304260253906, 0.3627443313598633]","[357.7220458984375, 357.20916748046875, 356.7834777832031]","[801.909423828125, 603.00341796875, 84.83695983886719]","[537.3853149414062, 543.0072631835938, 509.84820556640625]"
34,"['wheel', 'wheel']",[0.81640637 0.8255897 ],"[413.2940673828125, 632.8204956054688]","[357.621337890625, 358.1176452636719]","[624.8203125, 827.450439453125]","[544.5834350585938, 538.3360595703125]"
35,"['wheel', 'wheel']",[0.81873685 0.81047887],"[656.425048828125, 435.12060546875]","[358.072021484375, 357.4789733886719]","[854.6774291992188, 647.735595703125]","[538.9566040039062, 544.9700317382812]"
36,"['wheel', 'wheel', 'wheel']",[0.8255897 0.8031738 0.5101915],"[680.372314453125, 458.84552001953125, 0.41910648345947266]","[358.1398010253906, 357.7120666503906, 357.0234375]","[879.5924072265625, 669.8143310546875, 134.31817626953125]","[540.3809204101562, 545.5969848632812, 520.2514038085938]"
37,"['wheel', 'wheel', 'wheel', 'wheel']",[0.8152325  0.8092759  0.49781802 0.3539863 ],"[704.188232421875, 482.679931640625, 0.4970216751098633, 0.29491424560546875]","[357.6407165527344, 357.2054443359375, 356.06329345703125, 357.5359191894531]","[905.30322265625, 693.0081176757812, 152.57118225097656, 108.72425079345703]","[541.5081176757812, 546.6448974609375, 521.0841064453125, 520.8132934570312]"
38,"['wheel', 'wheel', 'wheel']",[0.8198933  0.81405276 0.5278033 ],"[728.4261474609375, 506.0169982910156, 0.4312419891357422]","[357.97930908203125, 358.02703857421875, 356.8469543457031]","[933.5852661132812, 715.658203125, 169.0886688232422]","[543.5319213867188, 548.465087890625, 521.4683227539062]"
39,"['wheel', 'wheel', 'wheel']",[0.8056322  0.8044059  0.51080155],"[752.0875244140625, 531.2021484375, 0.6676292419433594]","[357.7760009765625, 357.2662353515625, 356.39703369140625]","[959.815673828125, 739.1521606445312, 187.37510681152344]","[544.2073974609375, 549.4899291992188, 522.4229736328125]"
40,"['wheel', 'wheel', 'wheel', 'wheel']",[0.80685264 0.8056322  0.48157573 0.46247303],"[555.9417114257812, 777.3487548828125, 0.4052162170410156, 99.29077911376953]","[357.7860412597656, 357.9518737792969, 358.0557556152344, 357.4773864746094]","[762.49609375, 987.5196533203125, 165.03927612304688, 205.44293212890625]","[550.7561645507812, 545.1389770507812, 523.3758544921875, 508.9099426269531]"
41,"['wheel', 'wheel', 'wheel', 'wheel']",[0.8031738  0.80193585 0.44939262 0.37022537],"[800.2884521484375, 578.42919921875, 1.0079479217529297, 0.47530174255371094]","[358.0301513671875, 357.8402099609375, 356.6904296875, 358.4313659667969]","[1015.64111328125, 788.85888671875, 222.04788208007812, 183.78970336914062]","[546.289306640625, 551.6617431640625, 524.5154418945312, 524.0003662109375]"
42,"['wheel', 'wheel', 'wheel', 'wheel']",[0.81047887 0.80685264 0.6160123  0.4402286 ],"[825.0723876953125, 604.1207885742188, 19.138822555541992, 0.3142237663269043]","[358.1455078125, 358.28155517578125, 357.42864990234375, 357.94500732421875]","[1043.4080810546875, 814.9789428710938, 240.48477172851562, 57.820770263671875]","[546.5197143554688, 552.4529418945312, 524.7669677734375, 511.9414367675781]"
43,"['wheel', 'wheel', 'wheel', 'wheel']",[0.81286734 0.53704137 0.80069196 0.51939946],"[850.14892578125, 37.256858825683594, 629.829833984375, 0.3640890121459961]","[357.7882080078125, 357.0398864746094, 357.85552978515625, 357.43756103515625]","[1072.479248046875, 259.7330322265625, 843.9246826171875, 75.29077911376953]","[548.7487182617188, 526.048583984375, 553.4387817382812, 516.1732788085938]"
44,"['wheel', 'wheel', 'wheel', 'wheel', 'wheel']",[0.78530854 0.62337685 0.7759446  0.57463354 0.37570643],"[874.8780517578125, 55.314369201660156, 656.4977416992188, 0.3430509567260742, 164.85552978515625]","[357.6755676269531, 357.30242919921875, 357.74078369140625, 357.89312744140625, 358.0224914550781]","[1100.5714111328125, 275.1468505859375, 872.6134643554688, 92.64766693115234, 277.72491455078125]","[549.8944091796875, 527.2056274414062, 554.8712158203125, 519.4083862304688, 511.5788269042969]"
