Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
1,['wheel'],[0.89912134],[0.5892276763916016],[355.9606018066406],[147.337158203125],[510.06976318359375]
2,['wheel'],[0.89912134],[0.7387065887451172],[356.7817687988281],[164.45999145507812],[510.1899719238281]
3,"['wheel', 'wheel']",[0.85776806 0.48651454],"[13.57905387878418, 0.17343997955322266]","[357.7110595703125, 367.2861328125]","[181.41598510742188, 26.616546630859375]","[510.9052734375, 499.0992431640625]"
4,"['wheel', 'wheel']",[0.84594244 0.5431056 ],"[30.067415237426758, 0.22817611694335938]","[357.6585693359375, 361.2862548828125]","[199.64927673339844, 42.69544219970703]","[511.72869873046875, 503.223876953125]"
5,"['wheel', 'wheel']",[0.8548847 0.7178038],"[47.24391174316406, 0.35359859466552734]","[356.8365173339844, 358.1173095703125]","[217.73220825195312, 59.469512939453125]","[512.5068359375, 504.5569152832031]"
6,"['wheel', 'wheel']",[0.86153823 0.5992507 ],"[65.07743835449219, 0.2922987937927246]","[357.4406433105469, 357.9184875488281]","[235.60325622558594, 75.7266845703125]","[513.3328857421875, 510.8719482421875]"
7,"['wheel', 'wheel']",[0.8499712  0.46004632],"[81.75927734375, 0.2712535858154297]","[357.1493225097656, 356.9019470214844]","[253.5075225830078, 92.82100677490234]","[513.7469482421875, 514.7990112304688]"
8,"['wheel', 'wheel', 'wheel']",[0.74761593 0.505615   0.54213613],"[100.59927368164062, 0.2818012237548828, 16.49053955078125]","[357.4962158203125, 360.65496826171875, 357.586669921875]","[272.517822265625, 75.43614196777344, 111.46953582763672]","[513.8419799804688, 519.4024658203125, 507.1302490234375]"
9,"['wheel', 'wheel']",[0.7839885 0.6575384],"[117.87308502197266, 0.2902507781982422]","[357.48431396484375, 356.9306640625]","[291.274658203125, 128.27810668945312]","[514.7000122070312, 520.0967407226562]"
10,"['wheel', 'wheel', 'wheel', 'wheel']",[0.714628   0.48456302 0.35131106 0.41300356],"[136.28587341308594, 0.30396461486816406, 0.45378684997558594, 55.90161895751953]","[357.81915283203125, 358.8075256347656, 357.36566162109375, 358.6828918457031]","[309.12213134765625, 112.45358276367188, 145.84271240234375, 146.53944396972656]","[515.2140502929688, 521.225341796875, 520.3583984375, 507.55279541015625]"
11,"['wheel', 'wheel']",[0.7866228  0.68846846],"[154.7646026611328, 0.3807353973388672]","[357.3711853027344, 356.94879150390625]","[328.42822265625, 162.66845703125]","[516.9557495117188, 521.5090942382812]"
12,"['wheel', 'wheel']",[0.7905303 0.6714706],"[172.3666534423828, 0.5906105041503906]","[357.401123046875, 356.9367980957031]","[348.2877197265625, 179.50975036621094]","[518.7448120117188, 522.1334228515625]"
13,"['wheel', 'wheel']",[0.79438496 0.7577944 ],"[191.22711181640625, 0.5888652801513672]","[357.71575927734375, 357.3127746582031]","[367.1040344238281, 200.04458618164062]","[518.9259643554688, 523.4229736328125]"
14,"['wheel', 'wheel']",[0.70821255 0.7634837 ],"[3.5197067260742188, 208.20457458496094]","[356.9652099609375, 357.39495849609375]","[217.1049346923828, 387.2403564453125]","[524.4987182617188, 519.0076293945312]"
15,"['wheel', 'wheel']",[0.73866904 0.79182106],"[21.16191864013672, 229.31700134277344]","[357.07891845703125, 357.41448974609375]","[236.0294189453125, 406.1408996582031]","[525.6774291992188, 520.2421875]"
16,"['wheel', 'wheel']",[0.75346667 0.80685264],"[40.07971954345703, 248.02996826171875]","[357.41571044921875, 357.4100036621094]","[255.32302856445312, 426.18603515625]","[526.3291625976562, 521.091796875]"
17,"['wheel', 'wheel']",[0.80193585 0.7634837 ],"[268.93353271484375, 57.95996856689453]","[357.4013366699219, 356.9466247558594]","[446.04766845703125, 274.40087890625]","[522.04150390625, 527.22998046875]"
18,"['wheel', 'wheel']",[0.7866228 0.7279754],"[288.28271484375, 77.59968566894531]","[357.7005615234375, 357.3185119628906]","[466.19287109375, 293.0975646972656]","[522.2279663085938, 527.7908935546875]"
19,"['wheel', 'wheel']",[0.7772999  0.81047887],"[97.14482116699219, 307.6607666015625]","[357.8187255859375, 358.17236328125]","[312.85870361328125, 487.7481689453125]","[528.3536987304688, 524.381103515625]"
20,"['wheel', 'wheel']",[0.81640637 0.7866228 ],"[327.7148132324219, 117.35992431640625]","[357.7933654785156, 357.40447998046875]","[509.03240966796875, 332.6571350097656]","[525.6949462890625, 529.5262451171875]"
21,"['wheel', 'wheel']",[0.81286734 0.76629364],"[347.30377197265625, 136.120849609375]","[357.3448181152344, 356.7718200683594]","[529.5743408203125, 352.3664855957031]","[525.6444702148438, 530.493408203125]"
22,"['wheel', 'wheel']",[0.7772999 0.8221891],"[155.82626342773438, 368.8461608886719]","[357.562744140625, 358.1001892089844]","[372.00384521484375, 550.5542602539062]","[531.020751953125, 526.4097290039062]"
23,"['wheel', 'wheel']",[0.81757444 0.7994423 ],"[389.1717529296875, 175.88284301757812]","[357.7071228027344, 356.75457763671875]","[571.9561767578125, 392.3934326171875]","[527.3656616210938, 532.535400390625]"
24,"['wheel', 'wheel']",[0.81405276 0.80069196],"[409.6802978515625, 196.25750732421875]","[358.0606384277344, 357.0940246582031]","[593.1520385742188, 412.3412780761719]","[528.0332641601562, 533.8095703125]"
25,"['wheel', 'wheel']",[0.8080672  0.82782817],"[216.66275024414062, 431.42138671875]","[356.9607849121094, 358.0033264160156]","[432.96112060546875, 615.664306640625]","[534.5138549804688, 529.0927124023438]"
26,"['wheel', 'wheel']",[0.81286734 0.8221891 ],"[236.63613891601562, 453.0145263671875]","[357.6483154296875, 358.37310791015625]","[453.3006286621094, 637.8858032226562]","[535.5162353515625, 530.44140625]"
27,"['wheel', 'wheel']",[0.8221891  0.81640637],"[473.4275817871094, 258.4164123535156]","[357.6568298339844, 357.0609436035156]","[660.0308227539062, 475.1385498046875]","[530.72607421875, 536.7798461914062]"
28,"['wheel', 'wheel']",[0.8221891  0.80069196],"[495.9646301269531, 280.3258972167969]","[357.4577941894531, 357.15863037109375]","[683.7814331054688, 495.9213562011719]","[532.0945434570312, 537.6978149414062]"
29,"['wheel', 'wheel']",[0.8267118  0.81405276],"[518.562255859375, 301.392578125]","[357.91693115234375, 357.71875]","[704.8489990234375, 516.4679565429688]","[532.5108642578125, 538.3704833984375]"
30,"['wheel', 'wheel']",[0.8267118 0.8152325],"[540.9576416015625, 322.066162109375]","[357.7050476074219, 356.95703125]","[729.0908813476562, 538.3739013671875]","[534.0805053710938, 539.322265625]"
31,"['wheel', 'wheel']",[0.8267118  0.81286734],"[563.403564453125, 344.25390625]","[358.23382568359375, 357.37554931640625]","[752.4799194335938, 558.6236572265625]","[535.234375, 540.5216064453125]"
32,"['wheel', 'wheel']",[0.8311431  0.81286734],"[586.6049194335938, 367.09979248046875]","[358.29180908203125, 357.2366943359375]","[777.512939453125, 581.1488647460938]","[536.5557250976562, 542.0803833007812]"
33,"['wheel', 'wheel']",[0.8255897 0.8344069],"[609.4470825195312, 390.2436828613281]","[357.6536865234375, 357.2571716308594]","[801.8139038085938, 603.43505859375]","[537.3258056640625, 542.852294921875]"
34,"['wheel', 'wheel']",[0.8365546  0.83004373],"[632.6769409179688, 412.0390319824219]","[358.1412658691406, 357.51300048828125]","[827.3425903320312, 625.1386108398438]","[538.4874877929688, 544.6795043945312]"
35,"['wheel', 'wheel']",[0.8233284  0.82893884],"[656.5054321289062, 435.03778076171875]","[358.2220458984375, 357.614501953125]","[854.5513916015625, 648.2978515625]","[538.6456298828125, 545.0887451171875]"
36,"['wheel', 'wheel']",[0.8267118  0.81405276],"[680.0857543945312, 458.4663391113281]","[357.9703674316406, 357.68035888671875]","[879.3341064453125, 669.4564208984375]","[540.33447265625, 545.5272216796875]"
37,"['wheel', 'wheel', 'wheel']",[0.82782817 0.82893884 0.5547117 ],"[704.33203125, 481.9801330566406, 0.23413538932800293]","[357.5754089355469, 356.9754638671875, 370.36297607421875]","[905.1510009765625, 692.609619140625, 32.57036590576172]","[541.4443969726562, 546.6067504882812, 501.28173828125]"
38,"['wheel', 'wheel', 'wheel']",[0.82782817 0.8255897  0.48785636],"[728.5972900390625, 506.00213623046875, 0.20466089248657227]","[357.9934997558594, 357.7693176269531, 361.4537658691406]","[933.6734008789062, 715.589111328125, 48.77838897705078]","[543.3538818359375, 548.5345458984375, 503.1220397949219]"
39,"['wheel', 'wheel', 'wheel']",[0.82782817 0.81757444 0.45786387],"[752.13525390625, 531.514892578125, 0.19212007522583008]","[357.7426452636719, 357.40777587890625, 358.2091369628906]","[960.1204833984375, 739.022216796875, 65.21629333496094]","[543.558349609375, 549.5541381835938, 504.82281494140625]"
40,"['wheel', 'wheel', 'wheel']",[0.81873685 0.81873685 0.41063806],"[555.911376953125, 777.4228515625, 0.14933109283447266]","[357.8087463378906, 357.9542541503906, 357.373291015625]","[762.1641845703125, 987.3203125, 82.35233306884766]","[550.8899536132812, 544.912109375, 508.5874328613281]"
41,"['wheel', 'wheel', 'wheel']",[0.8255897  0.81873685 0.3711366 ],"[800.7455444335938, 577.7677001953125, 0.35330772399902344]","[358.0691223144531, 357.840576171875, 357.2182312011719]","[1015.5555419921875, 788.679931640625, 99.29592895507812]","[546.1235961914062, 551.7118530273438, 512.8771362304688]"
42,"['wheel', 'wheel']",[0.81286734 0.8198933 ],"[824.9478759765625, 604.720458984375]","[358.15325927734375, 358.2510986328125]","[1043.5921630859375, 815.6478881835938]","[546.558837890625, 552.688720703125]"
